"","sm_2","sm_4","sm_8","sm_20","sm_40","st_2","st_4","st_8","st_20","st_40","serial_number","station_name","station_id","network","elevation","lat","long","wind_speed","air_temp","start_date","p1day","p2day","p3day","p4day","p5day","raw_predictions","predictions"
"1",0.186,-999999,0.206,0.106,-999999,11.67,-999999,13.89,13.33,-999999,1,"Agua Canyon",907,"SNTL",2712.72,37.52217,-112.27118,-999999,8.72222222222222,2017-09-20,0,0,0,0,2.54000000000004,0.206714285714286,"10"
"2",0.19,-999999,0.042,0.03,-999999,6.11,-999999,6.11,8.33,-999999,2,"Bear River RS",992,"SNTL",2675.2296,40.8852,-110.8277,-999999,-0.111111111111111,2017-09-20,17.78,17.78,17.78,20.3199999999999,35.56,0.279,"11"
"3",0.34,-999999,0.337,0.303,-999999,10,-999999,11.67,12.22,-999999,3,"Beaver Dams",329,"SNTL",2435.352,39.13683,-111.55813,-999999,3.11111111111111,2017-09-20,0,0,0,0,22.8600000000001,0.28,"12"
"4",0.14,-999999,0.115,0.069,-999999,5,-999999,8.89,11.11,-999999,4,"Beaver Divide",330,"SNTL",2523.744,40.61233,-111.09782,-999999,-0.277777777777778,2017-09-20,15.24,15.24,15.24,15.24,35.56,0.0945555555555556,"1"
"5",0.195,-999999,0.174,0.047,-999999,4.44,-999999,8.33,8.89,-999999,5,"Ben Lomond Peak",332,"SNTL",2343.6072,41.37603,-111.94405,-999999,2.88888888888889,2017-09-20,5.08000000000007,7.61999999999993,7.61999999999993,12.7,25.4,0.181441176470588,"7"
"6",0.146,-999999,0.179,0.136,-999999,8.33,-999999,10,11.11,-999999,6,"Ben Lomond Trail",333,"SNTL",1820.2656,41.38291,-111.92103,-999999,1.11111111111111,2017-09-20,15.24,22.86,22.86,22.86,40.64,0.181441176470588,"7"
"7",0.032,0.015,0,0,0.004,8.33,10.56,10.56,12.22,12.78,7,"Bevans Cabin",1214,"SNTL",1987.296,40.46182,-112.25233,-999999,3.5,2017-09-20,5.08000000000007,5.08000000000007,5.08000000000007,5.08000000000007,20.3200000000001,0.0945555555555556,"1"
"8",0.278,-999999,0.219,0.32,-999999,6.11,-999999,6.67,6.67,-999999,8,"Big Flat",339,"SNTL",3154.3752,38.30183,-112.35672,-999999,4.22222222222222,2017-09-20,0,0,0,0,12.7,0.14975,"5"
"9",0.238,-999999,0.244,0.083,-999999,9.44,-999999,10,11.11,-999999,9,"Black Flat-U.M. Ck",348,"SNTL",2869.3872,38.6799,-111.59765,-999999,6.38888888888889,2017-09-20,0,0,0,0,5.07999999999998,0.192714285714286,"9"
"10",0.125,-999999,0.035,0.068,-999999,3.89,-999999,6.11,8.89,-999999,10,"Blacks Fork Jct",1162,"SNTL",2703.2712,40.95814,-110.5828,-999999,-2.61111111111111,2017-09-20,15.2399999999999,15.2399999999999,15.2399999999999,20.3199999999999,35.56,0.127142857142857,"3"
"11",0.274,-999999,0.242,0.062,-999999,5.56,-999999,7.78,8.89,-999999,11,"Bobs Hollow",1278,"SNTL",2840.4312,38.94569,-112.15349,-999999,5.22222222222222,2017-09-20,0,0,0,2.54000000000004,27.94,0.14975,"5"
"12",0.144,-999999,0.216,0.152,-999999,6.11,-999999,9.44,10,-999999,12,"Box Creek",364,"SNTL",3003.1944,38.50809,-112.01856,-999999,6.77777777777778,2017-09-20,0,2.54000000000004,2.54000000000004,2.54000000000004,10.1600000000001,0.14975,"5"
"13",0.16,-999999,0.069,0.085,-999999,8.33,-999999,9.44,10,-999999,13,"Box Springs",1156,"SNTL",2812.6944,38.49746,-112.00779,-999999,6.72222222222222,2017-09-20,0,0,0,0,10.16,0.14975,"5"
"14",0.098,-999999,0.098,0.17,-999999,7.22,-999999,10,9.44,-999999,14,"Brian Head",1154,"SNTL",3059.8872,37.67994,-112.85674,-999999,4.22222222222222,2017-09-20,2.53999999999986,2.53999999999986,2.53999999999986,2.53999999999986,2.53999999999986,0.206714285714286,"10"
"15",0.222,-999999,0.028,0.041,-999999,3.33,-999999,6.11,8.33,-999999,15,"Brighton",366,"SNTL",2671.8768,40.59936,-111.58167,-999999,0,2017-09-20,0,5.07999999999989,5.07999999999989,17.7799999999999,40.64,0.0945555555555556,"1"
"16",0.206,-999999,0.118,0.188,-999999,2.22,-999999,5.56,6.67,-999999,16,"Brown Duck",368,"SNTL",3222.9552,40.58102,-110.58587,-999999,-1,2017-09-20,5.07999999999989,5.07999999999989,5.07999999999989,7.61999999999993,17.7799999999999,0.0945555555555556,"1"
"17",0.361,-999999,0.371,0.4,-999999,7.22,-999999,10,9.44,-999999,17,"Buck Flat",371,"SNTL",2867.8632,39.134,-111.43722,-999999,6.22222222222222,2017-09-20,0,0,0,0,25.4,0.28,"12"
"18",0.424,-999999,0.42,0.417,-999999,5.56,-999999,7.22,7.78,-999999,18,"Buck Pasture",1192,"SNTL",2935.8336,40.84456,-110.66068,-999999,-2.27777777777778,2017-09-20,15.24,15.24,15.24,17.7799999999999,35.56,0.279,"11"
"19",0.245,-999999,0.247,0.186,-999999,8.33,-999999,9.44,10,-999999,19,"Buckboard Flat",1153,"SNTL",2720.0352,37.86943,-109.44717,-999999,11.2222222222222,2017-09-20,0,0,0,0,0,0.130888888888889,"4"
"20",0.203,-999999,0.178,0.196,-999999,4.44,-999999,7.22,10,-999999,20,"Bug Lake",374,"SNTL",2434.4376,41.68541,-111.41987,-999999,-0.88888888888889,2017-09-20,17.7800000000001,33.0200000000001,33.0200000000001,33.0200000000001,43.1800000000001,0.127142857142857,"3"
"21",0.344,-999999,0.297,0.407,-999999,6.67,-999999,9.44,10.56,-999999,21,"Burts Miller Ranch",1135,"SNTL",2438.4,40.98492,-110.85075,-999999,0.722222222222221,2017-09-20,12.7,12.7,12.7,17.78,30.48,0.127142857142857,"3"
"22",0.09,-999999,0.084,0.117,-999999,8.89,-999999,10,10,-999999,22,"Camp Jackson",383,"SNTL",2699.9184,37.81333,-109.48723,-999999,8.27777777777778,2017-09-20,0,0,0,0,0,0.130888888888889,"4"
"23",0.043,-999999,0.108,0.057,-999999,9.44,-999999,9.44,9.44,-999999,23,"Cascade Mountain",1039,"SNTL",2369.5152,40.283,-111.60992,-999999,5.11111111111111,2017-09-20,2.53999999999986,5.07999999999989,5.07999999999989,5.07999999999989,30.4799999999999,0.0945555555555556,"1"
"24",0.148,-999999,0.23,0.312,-999999,9.44,-999999,9.44,9.44,-999999,24,"Castle Valley",390,"SNTL",2928.2136,37.66098,-112.74093,-999999,6.77777777777778,2017-09-20,0,0,0,0,2.53999999999986,0.206714285714286,"10"
"25",0.37,-999999,0.374,0.274,-999999,3.89,-999999,6.67,8.33,-999999,25,"Chalk Creek #1",392,"SNTL",2795.3208,40.85464,-111.04765,-999999,-1.38888888888889,2017-09-20,22.86,22.86,22.86,25.4,60.96,0.279,"11"
"26",0.215,-999999,0.253,0.012,-999999,3.89,-999999,6.67,8.33,-999999,26,"Chalk Creek #2",393,"SNTL",2501.7984,40.88529,-111.06954,-999999,1.61111111111111,2017-09-20,25.4,25.4,25.4,25.4,66.04,0.279,"11"
"27",0.079,-999999,0.067,0.126,-999999,3.89,-999999,6.11,7.22,-999999,27,"Chepeta",396,"SNTL",3200.0952,40.77458,-110.0105,-999999,-0.222222222222221,2017-09-20,0,0,0,2.54000000000004,5.07999999999998,0.190230769230769,"8"
"28",0.178,-999999,0.175,0.105,-999999,6.11,-999999,9.44,9.44,-999999,28,"Clayton Springs",983,"SNTL",3062.9352,37.9725,-111.83355,-999999,5.61111111111111,2017-09-20,0,0,0,0,2.54000000000004,0.14975,"5"
"29",0.188,-999999,0.065,0.09,-999999,6.11,-999999,8.33,10,-999999,29,"Clear Creek #1",399,"SNTL",2735.58,39.86671,-111.28363,-999999,1.61111111111111,2017-09-20,0,0,0,0,22.86,0.0945555555555556,"1"
"30",0.105,-999999,0.14,0.043,-999999,7.22,-999999,9.44,10,-999999,30,"Clear Creek #2",400,"SNTL",2388.7176,39.89275,-111.25154,-999999,0.277777777777778,2017-09-20,0,0,0,0,17.78,0.0945555555555556,"1"
"31",0.258,-999999,0.146,0.146,-999999,8.33,-999999,10,10.56,-999999,31,"Corral",1236,"SNTL",2501.4936,39.65795,-110.37906,-999999,3.77777777777778,2017-09-20,0,0,0,2.53999999999995,10.16,0.130888888888889,"4"
"32",0.138,-999999,0.034,0.097,-999999,7.22,-999999,10,11.67,-999999,32,"Currant Creek",432,"SNTL",2412.492,40.35747,-111.08993,-999999,-1.72222222222222,2017-09-20,5.07999999999998,5.07999999999998,5.07999999999998,5.07999999999998,17.78,0.0945555555555556,"1"
"33",0.129,-999999,0.066,0.043,-999999,6.67,-999999,8.89,11.11,-999999,33,"Daniels-Strawberry",435,"SNTL",2440.8384,40.2953,-111.25677,0.715264,-0.388888888888889,2017-09-20,5.07999999999989,5.07999999999989,5.07999999999989,7.61999999999993,27.94,0.0945555555555556,"1"
"34",0.126,-999999,0.264,0.172,-999999,7.22,-999999,8.33,7.78,-999999,34,"Dills Camp",444,"SNTL",2812.6944,39.04554,-111.46875,-999999,6.88888888888889,2017-09-20,0,0,0,2.53999999999986,25.4,0.28,"12"
"35",0.314,-999999,0.12,0.105,-999999,6.11,-999999,8.33,7.78,-999999,35,"Donkey Reservoir",452,"SNTL",2986.7352,38.2084,-111.47412,-999999,7.61111111111111,2017-09-20,0,0,0,0,5.07999999999998,0.192714285714286,"9"
"36",0.245,-999999,0.085,0,-999999,2.22,-999999,7.22,8.33,-999999,36,"Dry Bread Pond",455,"SNTL",2530.4496,41.41289,-111.5377,-999999,0.111111111111113,2017-09-20,25.4,35.56,35.56,35.56,53.34,0.181441176470588,"7"
"37",0.184,-999999,0.059,0,-999999,9.44,-999999,10,10.56,-999999,37,"Dry Fork",906,"SNTL",2161.9464,40.56533,-112.17343,-999999,1.72222222222222,2017-09-20,10.16,10.16,10.16,10.16,35.56,0.0945555555555556,"1"
"38",0.114,-999999,0.08,0.074,-999999,9.44,-999999,11.67,12.22,-999999,38,"East Willow Creek",461,"SNTL",2530.4496,39.31213,-109.53179,-999999,2.11111111111111,2017-09-20,0,0,0,0,7.62000000000002,0.130888888888889,"4"
"39",0.387,-999999,0.368,0.397,-999999,6.67,-999999,8.33,9.44,-999999,39,"EF Blacks Fork GS",1163,"SNTL",2852.928,40.88472,-110.54056,-999999,0.88888888888889,2017-09-20,10.16,10.16,10.16,15.24,22.86,0.279,"11"
"40",0.204,-999999,0.076,0.056,-999999,5.56,-999999,6.67,9.44,-999999,40,"Farmington",474,"SNTL",2408.5296,40.97462,-111.80975,-999999,1.11111111111111,2017-09-20,12.7,15.2399999999999,15.2399999999999,15.2399999999999,45.7199999999999,0.181441176470588,"7"
"41",0.245,-999999,0.108,0.108,-999999,6.11,-999999,8.89,10,-999999,41,"Farmington Lower",1054,"SNTL",2066.2392,40.992,-111.81702,-999999,1.11111111111111,2017-09-20,15.24,17.7799999999999,17.7799999999999,17.7799999999999,43.1799999999999,0.181441176470588,"7"
"42",0.317,-999999,0.271,0.349,-999999,5.56,-999999,7.22,7.78,-999999,42,"Farnsworth Lake",475,"SNTL",2933.0904,38.77246,-111.67662,-999999,4.5,2017-09-20,0,0,0,0,15.24,0.192714285714286,"9"
"43",0.204,-999999,0.219,0.03,-999999,7.78,-999999,11.11,11.11,-999999,43,"Fish Lake Utah",1149,"SNTL",2681.6304,38.50455,-111.76693,-999999,4.5,2017-09-20,0,0,0,0,5.08000000000007,0.14975,"5"
"44",0.117,-999999,0.249,0.306,-999999,4.44,-999999,5.56,6.67,-999999,44,"Five Points Lake",481,"SNTL",3335.4264,40.71785,-110.46721,-999999,1.72222222222222,2017-09-20,2.54000000000004,2.54000000000004,2.54000000000004,2.54000000000004,10.1600000000001,0.190230769230769,"8"
"45",0.218,-999999,0.118,0.151,-999999,3.33,-999999,7.78,8.89,-999999,45,"Garden City Summit",1114,"SNTL",2348.484,41.9215,-111.4693,-999999,-1.77777777777778,2017-09-20,20.3200000000001,35.5600000000001,35.5600000000001,38.1,48.2600000000001,0.127142857142857,"3"
"46",0.083,-999999,0.076,0.046,-999999,10.56,-999999,12.22,11.67,-999999,46,"Gardner Peak",1066,"SNTL",2536.5456,37.40083,-113.45988,-999999,9.72222222222222,2017-09-20,0,0,0,0,0,0.119411764705882,"2"
"47",0.212,-999999,0.295,0.246,-999999,7.78,-999999,10.56,10.56,-999999,47,"GBRC HQ",1221,"SNTL",2682.5448,39.32019,-111.48827,-999999,2.11111111111111,2017-09-20,0,0,0,2.54000000000004,17.7800000000001,0.28,"12"
"48",0.25,-999999,0.268,0.218,-999999,3.33,-999999,8.33,8.89,-999999,48,"GBRC Meadows",1222,"SNTL",3004.7184,39.30229,-111.45383,-999999,2.27777777777778,2017-09-20,0,0,0,5.07999999999989,25.4,0.28,"12"
"49",0.072,-999999,0.111,0.09,-999999,2.78,-999999,6.67,8.89,-999999,49,"George Creek",1151,"SNTL",2732.2272,41.91562,-113.41154,-999999,-0.722222222222223,2017-09-20,2.54000000000004,5.08000000000007,5.08000000000007,5.08000000000007,10.1600000000001,0.119411764705882,"2"
"50",0.175,-999999,0.277,0.274,-999999,7.22,-999999,11.67,12.22,-999999,50,"Gooseberry RS",495,"SNTL",2421.3312,38.80034,-111.68333,-999999,2.61111111111111,2017-09-20,0,0,2.54000000000004,2.54000000000004,12.7,0.192714285714286,"9"
"51",0.302,-999999,0.216,0.222,-999999,8.33,-999999,11.11,12.22,-999999,51,"Gooseberry RS Up",1184,"SNTL",2559.1008,38.7882,-111.68892,-999999,3,2017-09-20,0,0,0,0,10.16,0.192714285714286,"9"
"52",0.181,-999999,0.205,0.089,-999999,12.22,-999999,13.89,13.89,-999999,52,"Gutz Peak",1065,"SNTL",2061.3624,37.49617,-113.94235,-999999,13.2777777777778,2017-09-20,0,0,0,0,2.53999999999995,0.119411764705882,"2"
"53",0.161,-999999,0.252,0.157,-999999,7.78,-999999,8.89,9.44,-999999,53,"Hardscrabble",896,"SNTL",2209.8,40.86833,-111.71865,-999999,3.11111111111111,2017-09-20,10.1600000000001,12.7,12.7,15.24,48.2600000000001,0.279,"11"
"54",0.25,-999999,0.25,-999999,-999999,13.33,-999999,13.89,-999999,-999999,54,"Harris Flat",514,"SNTL",2375.0016,37.48997,-112.57602,-999999,10.6111111111111,2017-09-20,0,0,0,0,0,0.206714285714286,"10"
"55",0.347,-999999,0.219,0.112,-999999,5.56,-999999,8.89,10,-999999,55,"Hayden Fork",517,"SNTL",2782.824,40.79669,-110.88472,-999999,-1.61111111111111,2017-09-20,22.86,22.86,22.86,25.4,68.5799999999999,0.190230769230769,"8"
"56",0.125,-999999,0.113,0.094,-999999,3.89,-999999,6.67,8.33,-999999,56,"Hewinta",521,"SNTL",2895.6,40.95009,-110.48419,-999999,-2.22222222222222,2017-09-20,15.24,15.24,15.24,17.78,27.94,0.127142857142857,"3"
"57",0.184,-999999,0.265,0.221,-999999,4.44,-999999,7.78,9.44,-999999,57,"Hickerson Park",522,"SNTL",2780.3856,40.90663,-109.96287,-999999,-0.388888888888889,2017-09-20,0,2.54000000000004,2.54000000000004,2.54000000000004,10.1600000000001,0.279,"11"
"58",0.067,-999999,0.105,0.242,-999999,6.11,-999999,11.67,13.33,-999999,58,"Hobble Creek",1223,"SNTL",2248.5096,40.18538,-111.35971,-999999,2.72222222222222,2017-09-20,2.54000000000004,2.54000000000004,2.54000000000004,2.54000000000004,20.3200000000001,0.0945555555555556,"1"
"59",0.221,-999999,0.137,0.13,-999999,5,-999999,6.67,7.78,-999999,59,"Hole-in-Rock",528,"SNTL",2794.4064,40.92167,-110.18623,-999999,0.999999999999998,2017-09-20,7.62000000000002,10.1600000000001,10.1600000000001,10.1600000000001,17.78,0.127142857142857,"3"
"60",0.248,-999999,0.032,0.039,-999999,5.56,-999999,7.78,11.11,-999999,60,"Horse Ridge",533,"SNTL",2499.0552,41.31372,-111.44624,-999999,-0.277777777777778,2017-09-20,17.7800000000001,25.4,25.4,25.4,50.8,0.127142857142857,"3"
"61",0.243,-999999,0.349,0.138,-999999,6.11,-999999,7.78,9.44,-999999,61,"Huntington Horse",1216,"SNTL",2941.9296,39.61774,-111.30576,-999999,2.38888888888889,2017-09-20,0,0,0,0,35.56,0.28,"12"
"62",0.242,-999999,0.102,0.176,-999999,8.33,-999999,10.56,10,-999999,62,"Indian Canyon",543,"SNTL",2795.3208,39.89166,-110.74604,-999999,3.72222222222222,2017-09-20,0,0,0,0,17.7800000000001,0.0945555555555556,"1"
"63",0.195,-999999,0.148,0.06,-999999,6.11,-999999,7.78,7.78,-999999,63,"Jones Corral",1099,"SNTL",2971.4952,38.07125,-112.16788,-999999,7.11111111111111,2017-09-20,0,0,0,0,5.07999999999998,0.14975,"5"
"64",0.211,-999999,0.076,0.021,-999999,4.44,-999999,7.22,8.33,-999999,64,"Kilfoil Creek",1145,"SNTL",2200.656,41.24764,-111.41249,-999999,-0.611111111111112,2017-09-20,10.1600000000001,15.24,15.24,15.24,27.94,0.127142857142857,"3"
"65",0.248,-999999,0.337,0.147,-999999,9.44,-999999,9.44,8.89,-999999,65,"Kimberly Mine",557,"SNTL",2773.9848,38.48383,-112.39273,-999999,8.27777777777778,2017-09-20,0,0,0,0,15.2399999999999,0.14975,"5"
"66",0.166,-999999,0.157,0.125,-999999,8.89,-999999,10,10.56,-999999,66,"Kings Cabin",559,"SNTL",2660.2944,40.71632,-109.54401,-999999,3.27777777777778,2017-09-20,0,0,2.54000000000004,2.54000000000004,12.7,0.190230769230769,"8"
"67",0.292,-999999,0.23,0.251,-999999,3.89,-999999,6.11,8.33,-999999,67,"Klondike Narrows",1115,"SNTL",2209.8,41.96769,-111.59713,-999999,0.611111111111112,2017-09-20,30.4800000000001,45.7200000000001,45.7200000000001,48.26,50.8,0.181441176470588,"7"
"68",0.049,-999999,0.117,0.097,-999999,9.44,-999999,12.22,11.67,-999999,68,"Kolob",561,"SNTL",2823.3624,37.52664,-113.05386,-999999,4.61111111111111,2017-09-20,0,0,0,0,0,0.119411764705882,"2"
"69",0.219,-999999,0.35,0.291,-999999,5,-999999,6.67,8.33,-999999,69,"Lakefork #1",566,"SNTL",3087.0144,40.59709,-110.43316,-999999,0.111111111111113,2017-09-20,2.54000000000004,2.54000000000004,2.54000000000004,2.54000000000004,12.7,0.177375,"6"
"70",0.064,-999999,0.057,0,-999999,6.67,-999999,9.44,11.11,-999999,70,"Lakefork #3",1116,"SNTL",2579.8272,40.5502,-110.3529,-999999,0.277777777777778,2017-09-20,0,0,0,0,10.1600000000001,0.177375,"6"
"71",0.327,-999999,0.392,0.326,-999999,7.78,-999999,7.22,7.78,-999999,71,"Lakefork Basin",513,"SNTL",3317.748,40.73785,-110.62121,-999999,1.5,2017-09-20,12.7,12.7,12.7,25.4,35.56,0.190230769230769,"8"
"72",0.129,-999999,0.13,0.041,-999999,11.67,-999999,13.33,12.22,-999999,72,"Lasal Mountain",572,"SNTL",2919.3744,38.48226,-109.27198,-999999,7.22222222222222,2017-09-20,0,0,0,0,0,0.130888888888889,"4"
"73",0.232,-999999,0.158,0.078,-999999,11.11,-999999,12.22,11.67,-999999,73,"Lasal Mountain-Lower",1215,"SNTL",2677.0584,38.48167,-109.29164,-999999,10.1111111111111,2017-09-20,0,0,0,0,5.07999999999998,0.130888888888889,"4"
"74",0.295,0.269,0.164,0.033,0.018,5.56,6.67,8.33,10,10.56,74,"Lightning Ridge",1056,"SNTL",2503.932,41.35891,-111.48749,-999999,0.611111111111112,2017-09-20,33.0199999999999,40.6399999999999,40.6399999999999,40.6399999999999,76.2,0.181441176470588,"7"
"75",0.148,-999999,0.182,0.084,-999999,5,-999999,7.22,10,-999999,75,"Lily Lake",579,"SNTL",2783.7384,40.86493,-110.79813,-999999,-0.388888888888889,2017-09-20,15.24,15.24,15.24,17.78,33.02,0.279,"11"
"76",0.338,-999999,0.193,0.282,-999999,6.67,-999999,11.11,12.78,-999999,76,"Little Bear",582,"SNTL",1995.8304,41.40562,-111.82607,-999999,3.77777777777778,2017-09-20,15.24,30.4799999999999,30.4799999999999,30.4799999999999,48.26,0.181441176470588,"7"
"77",0.126,-999999,0.198,0.164,-999999,16.67,-999999,17.78,17.22,-999999,77,"Little Grassy",583,"SNTL",1848.612,37.48631,-113.84582,-999999,15.8888888888889,2017-09-20,0,0,0,0,2.54000000000004,0.119411764705882,"2"
"78",0.233,-999999,0.11,0.078,-999999,9.44,-999999,11.11,10.56,-999999,78,"Lonesome Beaver",1261,"SNTL",2868.168,38.07,-110.77241,-999999,9,2017-09-20,0,0,0,0,0,0.130888888888889,"4"
"79",0.085,-999999,0.067,0.094,-999999,12.22,-999999,16.11,14.44,-999999,79,"Long Flat",592,"SNTL",2432.9136,37.51255,-113.39661,-999999,11.7222222222222,2017-09-20,0,0,0,0,2.54000000000004,0.119411764705882,"2"
"80",0.124,-999999,0.151,0.11,-999999,13.89,-999999,15.56,16.67,-999999,80,"Long Valley Jct",593,"SNTL",2275.332,37.48756,-112.51458,-999999,7.77777777777778,2017-09-20,0,0,0,0,0,0.206714285714286,"10"
"81",0.156,-999999,0.044,0.023,-999999,5.56,-999999,7.22,8.33,-999999,81,"Lookout Peak",596,"SNTL",2487.4728,40.83731,-111.70965,-999999,1.11111111111111,2017-09-20,7.61999999999993,7.61999999999993,7.61999999999993,7.61999999999993,43.1799999999999,0.190230769230769,"8"
"82",0.084,-999999,0.213,0.16,-999999,10.56,-999999,11.11,11.67,-999999,82,"Lost Creek Resv",1118,"SNTL",1853.7936,41.22155,-111.35947,-999999,0.277777777777778,2017-09-20,7.62000000000002,10.1600000000001,10.1600000000001,10.1600000000001,17.78,0.127142857142857,"3"
"83",0.093,-999999,0.058,0.054,-999999,10.56,-999999,11.67,11.11,-999999,83,"Louis Meadow",972,"SNTL",2042.16,40.83033,-111.76457,1.162304,1.77777777777778,2017-09-20,2.54000000000004,2.54000000000004,2.54000000000004,5.08000000000007,40.64,0.190230769230769,"8"
"84",0.3,-999999,0.323,0.238,-999999,4.44,-999999,9.44,11.11,-999999,84,"Mammoth-Cottonwood",612,"SNTL",2654.5032,39.68338,-111.31818,-999999,1.11111111111111,2017-09-20,0,2.54000000000004,5.07999999999989,7.61999999999993,35.56,0.28,"12"
"85",0.356,-999999,0.063,0.001,-999999,6.67,-999999,7.22,8.33,-999999,85,"Merchant Valley",621,"SNTL",2653.284,38.30285,-112.43637,-999999,8.38888888888889,2017-09-20,0,0,0,0,12.7,0.14975,"5"
"86",0.246,-999999,0.22,0.305,-999999,7.22,-999999,10,9.44,-999999,86,"Midway Valley",626,"SNTL",2995.2696,37.56933,-112.83849,-999999,5.22222222222222,2017-09-20,0,0,0,0,0,0.206714285714286,"10"
"87",0.193,-999999,0.022,0.04,-999999,3.33,-999999,8.33,9.44,-999999,87,"Mill-D North",628,"SNTL",2731.9224,40.65883,-111.63683,-999999,1.5,2017-09-20,15.24,15.24,15.24,15.24,43.1800000000001,0.0945555555555556,"1"
"88",0.073,-999999,0.11,0.048,-999999,5.56,-999999,8.33,8.89,-999999,88,"Mining Fork",631,"SNTL",2528.316,40.49384,-112.61141,-999999,1.77777777777778,2017-09-20,0,0,0,2.53999999999986,7.61999999999993,0.0945555555555556,"1"
"89",0.298,-999999,0.324,0.035,-999999,2.78,-999999,5.56,6.67,-999999,89,"Monte Cristo",634,"SNTL",2722.4736,41.46547,-111.49688,-999999,-1.61111111111111,2017-09-20,25.4,38.1,38.1,38.1,48.26,0.181441176470588,"7"
"90",0.117,-999999,0.083,0.122,-999999,6.67,-999999,7.78,8.33,-999999,90,"Mosby Mtn.",643,"SNTL",2911.7544,40.60798,-109.8881,-999999,1.5,2017-09-20,0,0,0,2.54000000000004,17.7800000000001,0.177375,"6"
"91",0.253,-999999,0.238,0.222,-999999,8.33,-999999,8.89,9.44,-999999,91,"Mt Baldy",1224,"SNTL",2902.9152,39.13648,-111.50527,-999999,2.38888888888889,2017-09-20,0,0,2.54000000000004,2.54000000000004,22.86,0.28,"12"
"92",0.084,-999999,0.122,0.059,-999999,7.78,-999999,9.44,10,-999999,92,"Mt Pennell",1269,"SNTL",2806.9032,37.97793,-110.7933,-999999,8.88888888888889,2017-09-20,0,0,0,0,0,0.130888888888889,"4"
"93",0.189,-999999,0.047,0.087,-999999,6.11,-999999,11.67,13.33,-999999,93,"Oak Creek",1146,"SNTL",2392.68,39.3485,-112.32639,-999999,7.38888888888889,2017-09-20,5.07999999999998,7.62000000000002,7.62000000000002,7.62000000000002,20.32,0.14975,"5"
"94",0.317,-999999,0.319,0.404,-999999,11.11,-999999,12.78,12.22,-999999,94,"Panguitch Lake RS",1148,"SNTL",2545.08,37.70463,-112.65037,-999999,10.6111111111111,2017-09-20,0,0,0,0,0,0.206714285714286,"10"
"95",0.32,-999999,0.381,0.258,-999999,5.56,-999999,11.11,13.89,-999999,95,"Parleys Summit",684,"SNTL",2311.908,40.76184,-111.62917,-999999,3.11111111111111,2017-09-20,15.24,20.3199999999999,20.3199999999999,20.3199999999999,66.04,0.190230769230769,"8"
